,n,p,er1,er2,model,activation,iter,auc_single,auc_multi,auc_softmax,auc_combined,ap_single,ap_multi,ap_softmax,ap_combined,config_single,config_multi,config_softmax,config_combined,n_distinct,n_random_features,shared_second_layer_weights
0,50000,10,0.01,0.01,torch,relu,0,0.749257735,0.756779168,0.755596553,0.768146188,0.050562541,0.057026721,0.056725582,0.06158699,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [10]}","{'learning_rate': 0.0001, 'regularization': 1e-06, 'hidden_layers': [100]}","{'learning_rate': 0.0001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,TRUE
1,50000,10,0.01,0.01,torch,relu,1,0.721559821,0.731504049,0.744052036,0.752035166,0.037397253,0.040394821,0.039466284,0.041324501,"{'learning_rate': 0.001, 'regularization': 1e-05, 'hidden_layers': [50]}","{'learning_rate': 0.001, 'regularization': 1e-05, 'hidden_layers': [50]}","{'learning_rate': 0.0001, 'regularization': 1e-06, 'hidden_layers': [10]}","{'learning_rate': 0.0001, 'regularization': 1e-05, 'hidden_layers': [200]}",0,5,TRUE
2,50000,10,0.01,0.01,torch,relu,2,0.701980023,0.712082803,0.723341301,0.72561656,0.028312745,0.029224462,0.032272436,0.033353987,"{'learning_rate': 0.0001, 'regularization': 1e-06, 'hidden_layers': [100]}","{'learning_rate': 0.0001, 'regularization': 1e-06, 'hidden_layers': [100]}","{'learning_rate': 0.0001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'regularization': 1e-05, 'hidden_layers': [100]}",0,5,TRUE
3,50000,10,0.01,0.01,torch,relu,3,0.687836973,0.689169887,0.691449132,0.697125249,0.018606312,0.018113693,0.019806653,0.020425412,"{'learning_rate': 0.001, 'regularization': 1e-05, 'hidden_layers': [200]}","{'learning_rate': 0.0001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [10]}","{'learning_rate': 0.0001, 'regularization': 1e-06, 'hidden_layers': [10]}",0,5,TRUE
4,50000,10,0.01,0.01,torch,relu,4,0.715439342,0.707914967,0.714253898,0.722127872,0.050798058,0.045139271,0.037275302,0.039464595,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [100]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,TRUE
5,50000,10,0.01,0.01,torch,relu,5,0.79126304,0.797450663,0.800850043,0.807901378,0.051174042,0.052898215,0.060027641,0.056070819,"{'learning_rate': 0.001, 'regularization': 1e-05, 'hidden_layers': [100]}","{'learning_rate': 0.001, 'regularization': 1e-05, 'hidden_layers': [50]}","{'learning_rate': 0.0001, 'regularization': 1e-05, 'hidden_layers': [10]}","{'learning_rate': 0.001, 'regularization': 1e-05, 'hidden_layers': [50]}",0,5,TRUE
6,50000,10,0.01,0.01,torch,relu,6,0.652244418,0.62935339,0.631545288,0.635830694,0.022513631,0.033395155,0.025659612,0.023168697,"{'learning_rate': 0.0001, 'regularization': 1e-05, 'hidden_layers': [10]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-05, 'hidden_layers': [100]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [100]}",0,5,TRUE
7,50000,10,0.01,0.01,torch,relu,7,0.57551993,0.590373342,0.588390871,0.585285104,0.015473823,0.014853024,0.015389804,0.016517099,"{'learning_rate': 0.001, 'regularization': 1e-05, 'hidden_layers': [100]}","{'learning_rate': 0.001, 'regularization': 1e-05, 'hidden_layers': [50]}","{'learning_rate': 0.001, 'regularization': 1e-05, 'hidden_layers': [10]}","{'learning_rate': 0.001, 'regularization': 1e-05, 'hidden_layers': [100]}",0,5,TRUE
8,50000,10,0.01,0.01,torch,relu,8,0.669158288,0.669389685,0.677023975,0.682685011,0.019916493,0.022779789,0.020063624,0.018591664,"{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [10]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}","{'learning_rate': 0.001, 'regularization': 1e-06, 'hidden_layers': [200]}",0,5,TRUE
9,50000,10,0.01,0.01,torch,relu,9,0.723627865,0.736977245,0.731929779,0.744274012,0.025525196,0.028037519,0.024243794,0.02608649,"{'learning_rate': 0.0001, 'regularization': 1e-05, 'hidden_layers': [50]}","{'learning_rate': 0.001, 'regularization': 1e-05, 'hidden_layers': [10]}","{'learning_rate': 0.0001, 'regularization': 1e-05, 'hidden_layers': [50]}","{'learning_rate': 0.001, 'regularization': 1e-05, 'hidden_layers': [100]}",0,5,TRUE
